title,author,isbn,synopsis,shareable
The Great Gatsby,F. Scott Fitzgerald,9780743273565,"A novel set in the Roaring Twenties, telling the story of Jay Gatsby's unrequited love for Daisy Buchanan.",true
To Kill a Mockingbird,Harper Lee,9780061120084,"A novel about the serious issues of rape and racial inequality, told through the eyes of young Scout Finch.",true
1984,George Orwell,9780451524935,"A dystopian novel set in a totalitarian society under constant surveillance, led by Big Brother.",true
Pride and Prejudice,Jane Austen,9780141439518,"A classic novel about the manners and matrimonial machinations among the British gentry of the early 19th century.",true
The Catcher in the Rye,J.D. Salinger,9780316769488,"The story of Holden Caulfield, a teenager who leaves his prep school in Pennsylvania and goes underground in New York City for three days.",true
The Hobbit,J.R.R. Tolkien,9780547928227,"A fantasy novel and children's book by J.R.R. Tolkien. It follows the quest of home-loving Bilbo Baggins to win a share of the treasure guarded by Smaug the dragon.",true
Fahrenheit 451,Ray Bradbury,9781451673319,"A dystopian novel about a future American society where books are outlawed and 'firemen' burn any that are found.",true
Jane Eyre,Charlotte Brontë,9780142437207,"A novel about the experiences of the orphaned title character, including her growth to adulthood and her love for Mr. Rochester.",true
Brave New World,Aldous Huxley,9780060850524,"A dystopian novel set in a futuristic World State, where citizens are environmentally engineered into an intelligence-based social hierarchy.",true
Wuthering Heights,Emily Brontë,9780141439556,"A tale of passionate and doomed love between Catherine Earnshaw and Heathcliff, set on the Yorkshire moors.",true
The Odyssey,Homer,9780140268867,"An epic poem attributed to Homer, following the adventures of Odysseus as he tries to return home after the Trojan War.",true
Moby-Dick,Herman Melville,9780142437247,"A novel about the voyage of the whaling ship Pequod, commanded by Captain Ahab who leads his crew on a quest to find and kill the giant white sperm whale Moby Dick.",true
War and Peace,Leo Tolstoy,9780199232765,"A historical novel that tells the story of five families during the Napoleonic Wars.",true
Crime and Punishment,Fyodor Dostoevsky,9780143058144,"A psychological drama of a young student Raskolnikov who murders an old pawnbroker woman and her sister, and then struggles with his conscience and the law.",true
The Brothers Karamazov,Fyodor Dostoevsky,9780374528379,"A story about the spiritual drama of moral struggles concerning faith, doubt, and reason, set against a modernizing Russia.",true
Anna Karenina,Leo Tolstoy,9780143035008,"A novel of complex human relationships set in the Russian society of the 19th century, focusing on the tragic love affair between Anna Karenina and Count Vronsky.",true
Madame Bovary,Gustave Flaubert,9780140449129,"A novel about the life of Emma Bovary, a doctor's wife, who has adulterous affairs and lives beyond her means in order to escape the banalities and emptiness of provincial life.",true
The Divine Comedy,Dante Alighieri,9780142437223,"An epic poem describing Dante's journey through Hell, Purgatory, and Paradise.",true
The Catch-22,Joseph Heller,9781451626650,"A satirical novel set during World War II, dealing with the absurdities of war and bureaucracy.",true
The Grapes of Wrath,John Steinbeck,9780143039433,"A novel about the Joad family, tenant farmers displaced from Oklahoma by the Great Depression, who set out for California along with thousands of others in search of a better life.",true
